58708	456903	456907	339896	339895
58708	456907	456911	339895	339894
58708	456911	456926	339894	339894
58708	456926	456928	339894	339894
58708	456928	456938	339894	339901
58809	455969	455985	340036	339978
58810	455963	455985	339964	339978
58811	455956	455961	339701	339743
58811	455961	455967	339743	339763
58811	455967	455987	339763	339822
58812	456047	456048	340013	340000
58812	456048	456014	340000	339960
58812	456014	456000	339960	339928
58812	456000	455999	339928	339923
58812	455999	455979	339923	339842
58812	455979	455987	339842	339822
58813	456036	456011	340006	339992
58813	456011	455985	339992	339978
58814	455987	456007	339822	339854
58814	456007	456043	339854	339890
58814	456043	456047	339890	339894
58814	456047	456120	339894	339931
58816	456016	456011	339631	339646
58816	456011	456006	339646	339650
58816	456006	455990	339650	339666
58817	456139	456106	339865	339851
58817	456106	456079	339851	339830
58817	456079	456056	339830	339805
58817	456056	456043	339805	339778
58817	456043	456042	339778	339776
58817	456042	456034	339776	339744
58817	456034	456034	339744	339705
58817	456034	456053	339705	339648
58818	456047	456042	340013	340010
58818	456042	456036	340010	340006
58819	456100	456071	339989	339979
58819	456071	456042	339979	339968
58820	456086	456067	340030	340022
58820	456067	456047	340022	340013
58821	456053	456079	339648	339662
58821	456079	456105	339662	339676
58824	456086	456093	340030	340010
58824	456093	456100	340010	339989
58825	456106	456096	340038	340034
58825	456096	456086	340034	340030
58826	456159	456125	339797	339781
58826	456125	456103	339781	339750
58826	456103	456102	339750	339748
58826	456102	456095	339748	339709
58826	456095	456105	339709	339676
58827	456116	456115	339942	339947
58827	456115	456113	339947	339951
58827	456113	456107	339951	339970
58827	456107	456100	339970	339989
58828	456105	456129	339676	339688
58828	456129	456153	339688	339699
58829	456137	456106	340049	340038
58830	456120	456120	339931	339933
58830	456120	456119	339933	339934
58830	456119	456116	339934	339942
58831	456134	456125	339942	339942
58831	456125	456116	339942	339942
58832	456139	456130	339865	339898
58832	456130	456120	339898	339931
58957	456604	456603	339484	339492
58957	456603	456553	339492	339561
58957	456553	456509	339561	339621
58957	456509	456498	339621	339624
